match_date,match_hour,match_round,home_team,away_team,home_goals,away_goals,bookmaker,1X,12,X2,opening_1X,opening_12,opening_X2,league_year
21.05.2017,16:00,38,Arsenal,Everton,3,1,10bet,1.09,1.14,3.20,1.10,1.19,2.50,2016
21.05.2017,16:00,38,Arsenal,Everton,3,1,1xbet,1.10,1.17,3.26,1.16,1.24,2.27,2016
21.05.2017,16:00,38,Arsenal,Everton,3,1,888sport,1.08,1.16,3.35,1.12,1.24,2.60,2016
21.05.2017,16:00,38,Arsenal,Everton,3,1,bet-at-home,1.10,1.14,2.90,1.13,1.21,2.38,2016
21.05.2017,16:00,38,Arsenal,Everton,3,1,bet365,1.08,1.17,3.20,1.14,1.22,2.63,2016
21.05.2017,16:00,38,Arsenal,Everton,3,1,betclic,1.08,1.15,3.05,1.15,1.24,2.25,2016
21.05.2017,16:00,38,Arsenal,Everton,3,1,betfair,1.08,1.14,3.10,1.10,1.20,2.45,2016
21.05.2017,16:00,38,Arsenal,Everton,3,1,betsafe,1.03,1.10,3.45,1.08,1.18,2.50,2016
21.05.2017,16:00,38,Arsenal,Everton,3,1,betsson,1.03,1.10,3.45,1.08,1.18,2.50,2016
21.05.2017,16:00,38,Arsenal,Everton,3,1,betvictor,1.07,1.14,3.30,1.13,1.20,2.55,2016
21.05.2017,16:00,38,Arsenal,Everton,3,1,betway,1.10,1.15,3.10,1.13,1.20,2.60,2016
21.05.2017,16:00,38,Arsenal,Everton,3,1,bwin,1.08,1.09,3.20,1.10,1.14,2.65,2016
21.05.2017,16:00,38,Arsenal,Everton,3,1,comeon,1.09,1.14,3.20,1.10,1.19,2.50,2016
21.05.2017,16:00,38,Arsenal,Everton,3,1,sbobet,1.10,1.16,3.00,1.11,1.20,2.43,2016
21.05.2017,16:00,38,Arsenal,Everton,3,1,unibet,1.08,1.16,3.35,1.12,1.24,2.60,2016
21.05.2017,16:00,38,Arsenal,Everton,3,1,william hill,1.06,1.12,3.00,1.08,1.17,2.50,2016
21.05.2017,16:00,38,Arsenal,Everton,3,1,youwin,1.07,1.13,3.00,1.10,1.17,2.55,2016
21.05.2017,16:00,38,Arsenal,Everton,3,1,betfair exchange,1.12,1.18,3.38,1.13,1.25,3.00,2016
21.05.2017,16:00,38,Burnley,West Ham,1,2,10bet,1.36,1.32,1.63,1.38,1.29,1.56,2016
21.05.2017,16:00,38,Burnley,West Ham,1,2,1xbet,1.38,1.35,1.68,1.36,1.32,1.64,2016
21.05.2017,16:00,38,Burnley,West Ham,1,2,888sport,1.39,1.33,1.63,1.41,1.33,1.61,2016
21.05.2017,16:00,38,Burnley,West Ham,1,2,bet-at-home,1.36,1.31,1.59,1.38,1.30,1.57,2016
21.05.2017,16:00,38,Burnley,West Ham,1,2,bet365,1.35,1.30,1.62,1.42,1.33,1.60,2016
21.05.2017,16:00,38,Burnley,West Ham,1,2,betclic,1.35,1.30,1.62,1.32,1.32,1.65,2016
21.05.2017,16:00,38,Burnley,West Ham,1,2,betfair,1.33,1.30,1.62,1.30,1.66,1.33,2016
21.05.2017,16:00,38,Burnley,West Ham,1,2,betsafe,1.33,1.27,1.57,1.30,1.26,1.64,2016
21.05.2017,16:00,38,Burnley,West Ham,1,2,betsson,1.33,1.27,1.58,1.30,1.26,1.64,2016
21.05.2017,16:00,38,Burnley,West Ham,1,2,betvictor,1.33,1.30,1.60,1.36,1.30,1.55,2016
21.05.2017,16:00,38,Burnley,West Ham,1,2,betway,1.40,1.30,1.62,1.40,1.33,1.57,2016
21.05.2017,16:00,38,Burnley,West Ham,1,2,bwin,1.35,1.25,1.62,1.40,1.25,1.57,2016
21.05.2017,16:00,38,Burnley,West Ham,1,2,comeon,1.36,1.32,1.63,1.38,1.29,1.56,2016
21.05.2017,16:00,38,Burnley,West Ham,1,2,sbobet,1.37,1.33,1.62,1.43,1.30,1.48,2016
21.05.2017,16:00,38,Burnley,West Ham,1,2,unibet,1.39,1.33,1.63,1.41,1.33,1.61,2016
21.05.2017,16:00,38,Burnley,West Ham,1,2,william hill,1.35,1.29,1.55,1.35,1.29,1.53,2016
21.05.2017,16:00,38,Burnley,West Ham,1,2,youwin,1.33,1.29,1.55,1.35,1.29,1.55,2016
21.05.2017,16:00,38,Burnley,West Ham,1,2,betfair exchange,1.40,1.35,1.69,1.39,1.36,1.65,2016
21.05.2017,16:00,38,Chelsea,Sunderland,5,1,10bet,,1.04,7.50,,1.06,5.25,2016
21.05.2017,16:00,38,Chelsea,Sunderland,5,1,1xbet,,1.06,7.40,,1.07,5.60,2016
21.05.2017,16:00,38,Chelsea,Sunderland,5,1,888sport,,1.05,7.50,,1.09,5.75,2016
21.05.2017,16:00,38,Chelsea,Sunderland,5,1,bet-at-home,1.02,1.04,5.41,1.03,1.07,4.47,2016
21.05.2017,16:00,38,Chelsea,Sunderland,5,1,bet365,1.01,1.06,7.00,1.03,1.10,6.00,2016
21.05.2017,16:00,38,Chelsea,Sunderland,5,1,betclic,1.01,1.05,7.25,1.01,1.07,6.00,2016
21.05.2017,16:00,38,Chelsea,Sunderland,5,1,betfair,1.01,1.03,6.50,1.00,1.06,4.50,2016
21.05.2017,16:00,38,Chelsea,Sunderland,5,1,betsafe,,,8.50,,,5.60,2016
21.05.2017,16:00,38,Chelsea,Sunderland,5,1,betsson,,,8.30,,,5.60,2016
21.05.2017,16:00,38,Chelsea,Sunderland,5,1,betvictor,1.01,1.04,9.00,1.02,1.08,5.50,2016
21.05.2017,16:00,38,Chelsea,Sunderland,5,1,betway,1.01,1.06,6.00,1.01,1.09,5.25,2016
21.05.2017,16:00,38,Chelsea,Sunderland,5,1,bwin,1.01,1.01,7.75,1.01,1.01,6.00,2016
21.05.2017,16:00,38,Chelsea,Sunderland,5,1,comeon,,1.04,7.50,,1.06,5.25,2016
21.05.2017,16:00,38,Chelsea,Sunderland,5,1,unibet,,1.05,7.50,,1.09,5.75,2016
21.05.2017,16:00,38,Chelsea,Sunderland,5,1,william hill,,1.02,6.50,,1.05,5.00,2016
21.05.2017,16:00,38,Chelsea,Sunderland,5,1,betfair exchange,1.03,1.08,8.60,1.03,1.13,6.20,2016
21.05.2017,16:00,38,Hull,Tottenham,1,7,10bet,3.60,1.12,1.06,2.15,1.21,1.16,2016
21.05.2017,16:00,38,Hull,Tottenham,1,7,1xbet,3.70,1.15,1.09,2.38,1.23,1.15,2016
21.05.2017,16:00,38,Hull,Tottenham,1,7,888sport,3.80,1.14,1.06,2.28,1.24,1.19,2016
21.05.2017,16:00,38,Hull,Tottenham,1,7,bet-at-home,3.32,1.12,1.07,2.10,1.23,1.19,2016
21.05.2017,16:00,38,Hull,Tottenham,1,7,bet365,3.50,1.13,1.07,2.25,1.25,1.20,2016
21.05.2017,16:00,38,Hull,Tottenham,1,7,betclic,3.40,1.13,1.06,2.20,1.23,1.17,2016
21.05.2017,16:00,38,Hull,Tottenham,1,7,betfair,3.50,1.13,1.06,2.10,1.22,1.14,2016
21.05.2017,16:00,38,Hull,Tottenham,1,7,betsafe,3.60,1.09,1.02,2.27,1.19,1.12,2016
21.05.2017,16:00,38,Hull,Tottenham,1,7,betsson,3.60,1.09,1.02,2.27,1.19,1.12,2016
21.05.2017,16:00,38,Hull,Tottenham,1,7,betvictor,3.80,1.13,1.04,2.15,1.25,1.17,2016
21.05.2017,16:00,38,Hull,Tottenham,1,7,betway,3.60,1.14,1.06,2.20,1.25,1.18,2016
21.05.2017,16:00,38,Hull,Tottenham,1,7,bwin,3.50,1.07,1.06,2.25,1.16,1.17,2016
21.05.2017,16:00,38,Hull,Tottenham,1,7,comeon,3.60,1.12,1.06,2.15,1.21,1.16,2016
21.05.2017,16:00,38,Hull,Tottenham,1,7,sbobet,3.00,1.13,1.08,2.19,1.22,1.15,2016
21.05.2017,16:00,38,Hull,Tottenham,1,7,unibet,3.80,1.14,1.06,2.28,1.24,1.19,2016
21.05.2017,16:00,38,Hull,Tottenham,1,7,william hill,3.40,1.11,1.03,2.40,1.18,1.08,2016
21.05.2017,16:00,38,Hull,Tottenham,1,7,youwin,3.50,1.10,1.04,2.15,1.20,1.15,2016
21.05.2017,16:00,38,Hull,Tottenham,1,7,betfair exchange,3.85,1.15,1.10,2.30,1.29,1.22,2016
21.05.2017,16:00,38,Leicester,Bournemouth,1,1,10bet,1.19,1.23,2.20,1.19,1.27,1.91,2016
21.05.2017,16:00,38,Leicester,Bournemouth,1,1,1xbet,1.23,1.25,2.21,1.20,1.28,2.03,2016
21.05.2017,16:00,38,Leicester,Bournemouth,1,1,888sport,1.21,1.24,2.23,1.23,1.30,1.98,2016
21.05.2017,16:00,38,Leicester,Bournemouth,1,1,bet-at-home,1.24,1.24,1.94,1.22,1.28,1.88,2016
21.05.2017,16:00,38,Leicester,Bournemouth,1,1,bet365,1.20,1.20,2.25,1.22,1.30,2.00,2016
21.05.2017,16:00,38,Leicester,Bournemouth,1,1,betclic,1.19,1.23,2.15,1.22,1.27,1.95,2016
21.05.2017,16:00,38,Leicester,Bournemouth,1,1,betfair,1.20,1.22,2.10,1.16,1.90,1.30,2016
21.05.2017,16:00,38,Leicester,Bournemouth,1,1,betsafe,1.15,1.19,2.13,1.17,1.23,1.95,2016
21.05.2017,16:00,38,Leicester,Bournemouth,1,1,betsson,1.15,1.19,2.13,1.17,1.23,1.95,2016
21.05.2017,16:00,38,Leicester,Bournemouth,1,1,betvictor,1.18,1.22,2.20,1.22,1.29,1.93,2016
21.05.2017,16:00,38,Leicester,Bournemouth,1,1,betway,1.22,1.22,2.15,1.22,1.30,1.95,2016
21.05.2017,16:00,38,Leicester,Bournemouth,1,1,bwin,1.19,1.16,2.20,1.22,1.20,1.95,2016
21.05.2017,16:00,38,Leicester,Bournemouth,1,1,comeon,1.19,1.22,2.25,1.19,1.27,1.91,2016
21.05.2017,16:00,38,Leicester,Bournemouth,1,1,sbobet,1.19,1.24,2.21,1.24,1.29,1.78,2016
21.05.2017,16:00,38,Leicester,Bournemouth,1,1,unibet,1.21,1.24,2.23,1.23,1.30,1.98,2016
21.05.2017,16:00,38,Leicester,Bournemouth,1,1,william hill,1.18,1.20,2.00,1.20,1.22,1.85,2016
21.05.2017,16:00,38,Leicester,Bournemouth,1,1,youwin,1.17,1.18,2.15,1.20,1.25,1.90,2016
21.05.2017,16:00,38,Leicester,Bournemouth,1,1,betfair exchange,1.23,1.26,2.33,1.28,1.35,2.04,2016
21.05.2017,16:00,38,Liverpool,Middlesbrough,3,0,10bet,,1.05,6.70,,1.08,4.55,2016
21.05.2017,16:00,38,Liverpool,Middlesbrough,3,0,1xbet,1.03,1.08,6.20,1.01,1.10,4.84,2016
21.05.2017,16:00,38,Liverpool,Middlesbrough,3,0,888sport,,1.06,7.00,,1.11,4.90,2016
21.05.2017,16:00,38,Liverpool,Middlesbrough,3,0,bet-at-home,1.02,1.06,4.95,1.04,1.10,3.92,2016
21.05.2017,16:00,38,Liverpool,Middlesbrough,3,0,bet365,1.01,1.07,6.50,1.05,1.13,4.50,2016
21.05.2017,16:00,38,Liverpool,Middlesbrough,3,0,betclic,1.01,1.06,6.25,1.03,1.11,4.10,2016
21.05.2017,16:00,38,Liverpool,Middlesbrough,3,0,betfair,,1.04,6.00,,1.07,4.20,2016
21.05.2017,16:00,38,Liverpool,Middlesbrough,3,0,betsafe,,1.03,5.70,,1.06,4.85,2016
21.05.2017,16:00,38,Liverpool,Middlesbrough,3,0,betsson,,1.03,5.60,,1.06,4.85,2016
21.05.2017,16:00,38,Liverpool,Middlesbrough,3,0,betvictor,1.02,1.04,7.00,1.03,1.10,4.75,2016
21.05.2017,16:00,38,Liverpool,Middlesbrough,3,0,betway,1.01,1.06,6.00,1.02,1.10,4.75,2016
21.05.2017,16:00,38,Liverpool,Middlesbrough,3,0,bwin,1.01,1.01,6.00,1.01,1.03,5.00,2016
21.05.2017,16:00,38,Liverpool,Middlesbrough,3,0,comeon,,1.05,6.70,,1.08,4.55,2016
21.05.2017,16:00,38,Liverpool,Middlesbrough,3,0,unibet,,1.06,7.00,,1.11,4.90,2016
21.05.2017,16:00,38,Liverpool,Middlesbrough,3,0,william hill,,1.04,5.50,,1.05,5.00,2016
21.05.2017,16:00,38,Liverpool,Middlesbrough,3,0,betfair exchange,1.04,1.09,7.27,1.04,1.12,6.20,2016
21.05.2017,16:00,38,Manchester Utd,Crystal Palace,2,0,10bet,1.34,1.34,1.65,1.22,1.24,1.95,2016
21.05.2017,16:00,38,Manchester Utd,Crystal Palace,2,0,1xbet,1.37,1.36,1.66,1.10,1.25,2.53,2016
21.05.2017,16:00,38,Manchester Utd,Crystal Palace,2,0,888sport,1.34,1.35,1.68,1.26,1.28,1.98,2016
21.05.2017,16:00,38,Manchester Utd,Crystal Palace,2,0,bet-at-home,1.35,1.32,1.59,1.27,1.27,1.80,2016
21.05.2017,16:00,38,Manchester Utd,Crystal Palace,2,0,bet365,1.35,1.33,1.62,1.20,1.29,2.15,2016
21.05.2017,16:00,38,Manchester Utd,Crystal Palace,2,0,betclic,1.35,1.32,1.62,1.20,1.27,2.00,2016
21.05.2017,16:00,38,Manchester Utd,Crystal Palace,2,0,betfair,1.35,1.33,1.60,1.36,1.29,1.55,2016
21.05.2017,16:00,38,Manchester Utd,Crystal Palace,2,0,betsafe,1.31,1.29,1.56,1.18,1.22,1.97,2016
21.05.2017,16:00,38,Manchester Utd,Crystal Palace,2,0,betsson,1.31,1.29,1.56,1.18,1.22,1.97,2016
21.05.2017,16:00,38,Manchester Utd,Crystal Palace,2,0,betvictor,1.33,1.30,1.60,1.20,1.29,1.93,2016
21.05.2017,16:00,38,Manchester Utd,Crystal Palace,2,0,betway,1.35,1.35,1.62,1.29,1.29,1.85,2016
21.05.2017,16:00,38,Manchester Utd,Crystal Palace,2,0,bwin,1.30,1.28,1.65,1.26,1.22,1.80,2016
21.05.2017,16:00,38,Manchester Utd,Crystal Palace,2,0,comeon,1.34,1.34,1.65,1.22,1.24,1.95,2016
21.05.2017,16:00,38,Manchester Utd,Crystal Palace,2,0,sbobet,1.37,1.33,1.61,1.43,1.31,1.46,2016
21.05.2017,16:00,38,Manchester Utd,Crystal Palace,2,0,unibet,1.34,1.35,1.68,1.26,1.28,1.98,2016
21.05.2017,16:00,38,Manchester Utd,Crystal Palace,2,0,william hill,1.33,1.29,1.55,1.25,1.29,1.70,2016
21.05.2017,16:00,38,Manchester Utd,Crystal Palace,2,0,youwin,1.33,1.29,1.57,1.35,1.29,1.55,2016
21.05.2017,16:00,38,Manchester Utd,Crystal Palace,2,0,betfair exchange,1.38,1.38,1.68,1.41,1.40,1.69,2016
21.05.2017,16:00,38,Southampton,Stoke,0,1,10bet,1.15,1.23,2.35,1.17,1.24,2.05,2016
21.05.2017,16:00,38,Southampton,Stoke,0,1,1xbet,1.19,1.26,2.38,1.18,1.30,2.06,2016
21.05.2017,16:00,38,Southampton,Stoke,0,1,888sport,1.16,1.25,2.38,1.19,1.28,2.15,2016
21.05.2017,16:00,38,Southampton,Stoke,0,1,bet-at-home,1.17,1.23,2.17,1.20,1.26,1.99,2016
21.05.2017,16:00,38,Southampton,Stoke,0,1,bet365,1.17,1.25,2.30,1.20,1.29,2.15,2016
21.05.2017,16:00,38,Southampton,Stoke,0,1,betclic,1.16,1.23,2.25,1.18,1.25,2.10,2016
21.05.2017,16:00,38,Southampton,Stoke,0,1,betfair,1.17,1.22,2.25,1.15,1.25,2.00,2016
21.05.2017,16:00,38,Southampton,Stoke,0,1,betsafe,1.14,1.19,2.19,1.14,1.22,2.08,2016
21.05.2017,16:00,38,Southampton,Stoke,0,1,betsson,1.14,1.19,2.19,1.14,1.22,2.08,2016
21.05.2017,16:00,38,Southampton,Stoke,0,1,betvictor,1.15,1.22,2.30,1.18,1.29,2.05,2016
21.05.2017,16:00,38,Southampton,Stoke,0,1,betway,1.17,1.25,2.25,1.20,1.29,2.05,2016
21.05.2017,16:00,38,Southampton,Stoke,0,1,bwin,1.17,1.16,2.25,1.17,1.19,2.15,2016
21.05.2017,16:00,38,Southampton,Stoke,0,1,comeon,1.15,1.23,2.35,1.17,1.24,2.05,2016
21.05.2017,16:00,38,Southampton,Stoke,0,1,sbobet,1.16,1.24,2.29,1.21,1.24,1.94,2016
21.05.2017,16:00,38,Southampton,Stoke,0,1,unibet,1.16,1.25,2.38,1.19,1.28,2.15,2016
21.05.2017,16:00,38,Southampton,Stoke,0,1,william hill,1.14,1.22,2.10,1.17,1.25,1.91,2016
21.05.2017,16:00,38,Southampton,Stoke,0,1,youwin,1.14,1.18,2.25,1.18,1.25,1.95,2016
21.05.2017,16:00,38,Southampton,Stoke,0,1,betfair exchange,1.19,1.27,2.41,1.24,1.31,2.16,2016
21.05.2017,16:00,38,Swansea,West Brom,2,1,10bet,1.34,1.33,1.65,1.26,1.27,1.77,2016
21.05.2017,16:00,38,Swansea,West Brom,2,1,1xbet,1.37,1.35,1.67,1.18,1.30,2.02,2016
21.05.2017,16:00,38,Swansea,West Brom,2,1,888sport,1.35,1.34,1.67,1.29,1.31,1.82,2016
21.05.2017,16:00,38,Swansea,West Brom,2,1,bet-at-home,1.34,1.32,1.59,1.28,1.30,1.73,2016
21.05.2017,16:00,38,Swansea,West Brom,2,1,bet365,1.33,1.33,1.62,1.40,1.30,1.67,2016
21.05.2017,16:00,38,Swansea,West Brom,2,1,betclic,1.32,1.32,1.65,1.25,1.30,1.82,2016
21.05.2017,16:00,38,Swansea,West Brom,2,1,betfair,1.33,1.33,1.62,1.25,1.29,1.73,2016
21.05.2017,16:00,38,Swansea,West Brom,2,1,betsafe,1.31,1.28,1.59,1.22,1.26,1.77,2016
21.05.2017,16:00,38,Swansea,West Brom,2,1,betsson,1.31,1.28,1.59,1.22,1.26,1.77,2016
21.05.2017,16:00,38,Swansea,West Brom,2,1,betvictor,1.33,1.30,1.62,1.25,1.30,1.75,2016
21.05.2017,16:00,38,Swansea,West Brom,2,1,betway,1.35,1.35,1.62,1.29,1.33,1.75,2016
21.05.2017,16:00,38,Swansea,West Brom,2,1,bwin,1.33,1.25,1.65,1.28,1.22,1.78,2016
21.05.2017,16:00,38,Swansea,West Brom,2,1,comeon,1.34,1.33,1.65,1.26,1.27,1.77,2016
21.05.2017,16:00,38,Swansea,West Brom,2,1,sbobet,1.36,1.34,1.62,1.30,1.29,1.65,2016
21.05.2017,16:00,38,Swansea,West Brom,2,1,unibet,1.35,1.34,1.67,1.29,1.31,1.82,2016
21.05.2017,16:00,38,Swansea,West Brom,2,1,william hill,1.30,1.30,1.57,1.25,1.29,1.70,2016
21.05.2017,16:00,38,Swansea,West Brom,2,1,youwin,1.33,1.29,1.60,1.29,1.29,1.70,2016
21.05.2017,16:00,38,Swansea,West Brom,2,1,betfair exchange,1.38,1.37,1.70,1.34,1.36,1.86,2016
21.05.2017,16:00,38,Watford,Manchester City,0,5,10bet,5.45,1.06,,2.90,1.17,,2016
21.05.2017,16:00,38,Watford,Manchester City,0,5,1xbet,5.50,1.09,1.03,2.80,1.21,1.09,2016
21.05.2017,16:00,38,Watford,Manchester City,0,5,888sport,5.80,1.08,1.02,3.05,1.21,1.08,2016
21.05.2017,16:00,38,Watford,Manchester City,0,5,bet-at-home,4.77,1.06,1.03,2.68,1.19,1.10,2016
21.05.2017,16:00,38,Watford,Manchester City,0,5,bet365,6.00,1.07,1.02,3.00,1.20,1.10,2016
21.05.2017,16:00,38,Watford,Manchester City,0,5,betclic,5.50,1.07,1.02,2.85,1.19,1.08,2016
21.05.2017,16:00,38,Watford,Manchester City,0,5,betfair,5.50,1.05,1.02,2.80,1.16,1.06,2016
21.05.2017,16:00,38,Watford,Manchester City,0,5,betsafe,5.25,1.03,,2.95,1.15,,2016
21.05.2017,16:00,38,Watford,Manchester City,0,5,betsson,5.25,1.03,,2.95,1.15,,2016
21.05.2017,16:00,38,Watford,Manchester City,0,5,betvictor,6.50,1.05,1.02,2.90,1.18,1.10,2016
21.05.2017,16:00,38,Watford,Manchester City,0,5,betway,5.25,1.08,1.02,2.75,1.22,1.09,2016
21.05.2017,16:00,38,Watford,Manchester City,0,5,bwin,5.25,1.01,1.02,3.00,1.12,1.07,2016
21.05.2017,16:00,38,Watford,Manchester City,0,5,comeon,5.50,1.06,,2.90,1.17,,2016
21.05.2017,16:00,38,Watford,Manchester City,0,5,sbobet,4.40,1.07,1.01,3.00,1.13,1.04,2016
21.05.2017,16:00,38,Watford,Manchester City,0,5,unibet,5.80,1.08,1.02,3.05,1.21,1.08,2016
21.05.2017,16:00,38,Watford,Manchester City,0,5,william hill,5.00,1.05,,3.30,1.12,,2016
21.05.2017,16:00,38,Watford,Manchester City,0,5,youwin,3.25,1.13,1.04,2.95,1.15,1.05,2016
21.05.2017,16:00,38,Watford,Manchester City,0,5,betfair exchange,6.70,1.10,1.04,3.40,1.22,1.10,2016
18.05.2017,20:45,34,Leicester,Tottenham,1,6,10bet,1.95,1.27,1.24,2.00,1.24,1.18,2016
18.05.2017,20:45,34,Leicester,Tottenham,1,6,1xbet,2.02,1.29,1.28,2.04,1.32,1.21,2016
18.05.2017,20:45,34,Leicester,Tottenham,1,6,888sport,1.97,1.29,1.25,2.15,1.28,1.20,2016
18.05.2017,20:45,34,Leicester,Tottenham,1,6,bet-at-home,1.87,1.26,1.25,1.98,1.26,1.20,2016
18.05.2017,20:45,34,Leicester,Tottenham,1,6,bet365,1.95,1.25,1.25,2.15,1.29,1.20,2016
18.05.2017,20:45,34,Leicester,Tottenham,1,6,betclic,1.90,1.27,1.24,2.10,1.25,1.18,2016
18.05.2017,20:45,34,Leicester,Tottenham,1,6,betfair,1.91,1.29,1.22,2.05,1.22,1.16,2016
18.05.2017,20:45,34,Leicester,Tottenham,1,6,betsafe,1.91,1.22,1.20,2.08,1.22,1.14,2016
18.05.2017,20:45,34,Leicester,Tottenham,1,6,betsson,1.91,1.22,1.20,2.08,1.22,1.14,2016
18.05.2017,20:45,34,Leicester,Tottenham,1,6,betvictor,1.91,1.25,1.25,2.10,1.25,1.18,2016
18.05.2017,20:45,34,Leicester,Tottenham,1,6,betway,1.95,1.30,1.22,2.00,1.29,1.22,2016
18.05.2017,20:45,34,Leicester,Tottenham,1,6,bwin,1.91,1.22,1.22,2.15,1.20,1.16,2016
18.05.2017,20:45,34,Leicester,Tottenham,1,6,comeon,1.95,1.27,1.24,2.00,1.24,1.18,2016
18.05.2017,20:45,34,Leicester,Tottenham,1,6,sbobet,1.91,1.28,1.25,2.04,1.25,1.17,2016
18.05.2017,20:45,34,Leicester,Tottenham,1,6,unibet,2.00,1.28,1.25,2.15,1.28,1.20,2016
18.05.2017,20:45,34,Leicester,Tottenham,1,6,william hill,1.73,1.25,1.25,2.00,1.22,1.15,2016
18.05.2017,20:45,34,Leicester,Tottenham,1,6,youwin,1.83,1.25,1.20,1.90,1.25,1.18,2016
18.05.2017,20:45,34,Leicester,Tottenham,1,6,betfair exchange,2.03,1.30,1.28,2.08,1.34,1.27,2016
17.05.2017,20:45,28,Southampton,Manchester Utd,0,0,10bet,1.35,1.35,1.61,1.50,1.29,1.42,2016
17.05.2017,20:45,28,Southampton,Manchester Utd,0,0,1xbet,1.41,1.37,1.60,1.61,1.39,1.37,2016
17.05.2017,20:45,28,Southampton,Manchester Utd,0,0,888sport,1.37,1.37,1.60,1.56,1.32,1.46,2016
17.05.2017,20:45,28,Southampton,Manchester Utd,0,0,bet-at-home,1.34,1.34,1.56,1.51,1.31,1.42,2016
17.05.2017,20:45,28,Southampton,Manchester Utd,0,0,bet365,1.33,1.34,1.62,1.55,1.33,1.44,2016
17.05.2017,20:45,28,Southampton,Manchester Utd,0,0,betclic,1.35,1.32,1.60,1.55,1.32,1.40,2016
17.05.2017,20:45,28,Southampton,Manchester Utd,0,0,betfair,1.33,1.35,1.60,1.50,1.30,1.40,2016
17.05.2017,20:45,28,Southampton,Manchester Utd,0,0,betsafe,1.31,1.31,1.55,1.52,1.27,1.37,2016
17.05.2017,20:45,28,Southampton,Manchester Utd,0,0,betsson,1.30,1.32,1.56,1.52,1.27,1.37,2016
17.05.2017,20:45,28,Southampton,Manchester Utd,0,0,betvictor,1.33,1.33,1.57,1.50,1.33,1.36,2016
17.05.2017,20:45,28,Southampton,Manchester Utd,0,0,betway,1.35,1.36,1.60,1.53,1.33,1.44,2016
17.05.2017,20:45,28,Southampton,Manchester Utd,0,0,bwin,1.36,1.26,1.57,1.53,1.25,1.42,2016
17.05.2017,20:45,28,Southampton,Manchester Utd,0,0,comeon,1.35,1.35,1.61,1.54,1.31,1.44,2016
17.05.2017,20:45,28,Southampton,Manchester Utd,0,0,sbobet,1.37,1.34,1.60,1.46,1.34,1.41,2016
17.05.2017,20:45,28,Southampton,Manchester Utd,0,0,unibet,1.37,1.37,1.60,1.56,1.32,1.46,2016
17.05.2017,20:45,28,Southampton,Manchester Utd,0,0,william hill,1.33,1.30,1.53,1.44,1.30,1.40,2016
17.05.2017,20:45,28,Southampton,Manchester Utd,0,0,youwin,1.29,1.33,1.55,1.45,1.29,1.40,2016
17.05.2017,20:45,28,Southampton,Manchester Utd,0,0,betfair exchange,1.38,1.39,1.67,1.53,1.38,1.53,2016
16.05.2017,20:45,34,Arsenal,Sunderland,2,0,10bet,,1.04,7.75,,1.06,5.50,2016
16.05.2017,20:45,34,Arsenal,Sunderland,2,0,1xbet,1.02,1.06,7.30,1.02,1.11,5.30,2016
16.05.2017,20:45,34,Arsenal,Sunderland,2,0,888sport,,1.05,8.00,,1.09,5.75,2016
16.05.2017,20:45,34,Arsenal,Sunderland,2,0,bet-at-home,1.02,1.05,4.97,1.03,1.07,4.52,2016
16.05.2017,20:45,34,Arsenal,Sunderland,2,0,bet365,1.01,1.06,7.00,1.02,1.09,6.00,2016
16.05.2017,20:45,34,Arsenal,Sunderland,2,0,betclic,1.01,1.05,6.75,1.02,1.08,4.90,2016
16.05.2017,20:45,34,Arsenal,Sunderland,2,0,betfair,1.01,1.04,5.80,1.00,1.04,5.00,2016
16.05.2017,20:45,34,Arsenal,Sunderland,2,0,betsafe,,1.01,6.65,,1.02,5.60,2016
16.05.2017,20:45,34,Arsenal,Sunderland,2,0,betsson,,1.01,6.65,,1.02,5.60,2016
16.05.2017,20:45,34,Arsenal,Sunderland,2,0,betvictor,1.02,1.04,7.00,1.02,1.07,5.75,2016
16.05.2017,20:45,34,Arsenal,Sunderland,2,0,betway,1.01,1.06,6.00,1.01,1.08,5.50,2016
16.05.2017,20:45,34,Arsenal,Sunderland,2,0,bwin,1.01,1.01,7.50,1.02,1.01,5.50,2016
16.05.2017,20:45,34,Arsenal,Sunderland,2,0,comeon,,1.04,7.75,,1.07,5.90,2016
16.05.2017,20:45,34,Arsenal,Sunderland,2,0,unibet,,1.05,8.00,,1.09,5.75,2016
16.05.2017,20:45,34,Arsenal,Sunderland,2,0,william hill,,1.05,6.50,,1.05,5.00,2016
16.05.2017,20:45,34,Arsenal,Sunderland,2,0,betfair exchange,1.04,1.08,7.84,1.03,1.08,9.00,2016
16.05.2017,21:00,34,Manchester City,West Brom,3,1,10bet,,1.07,6.10,,1.09,4.45,2016
16.05.2017,21:00,34,Manchester City,West Brom,3,1,1xbet,1.03,1.08,6.50,1.06,1.17,3.74,2016
16.05.2017,21:00,34,Manchester City,West Brom,3,1,888sport,,1.08,6.40,,1.12,4.70,2016
16.05.2017,21:00,34,Manchester City,West Brom,3,1,bet-at-home,1.04,1.08,4.21,1.04,1.10,3.84,2016
16.05.2017,21:00,34,Manchester City,West Brom,3,1,bet365,1.02,1.07,6.00,1.04,1.13,4.50,2016
16.05.2017,21:00,34,Manchester City,West Brom,3,1,betclic,1.02,1.08,5.25,1.04,1.12,3.80,2016
16.05.2017,21:00,34,Manchester City,West Brom,3,1,betfair,1.01,1.07,5.00,1.01,1.07,4.20,2016
